1,866,743,976,99,332,565
2,332,976,565,866,99,743
3,976,866,332,743,565,99
4,99,565,743,332,866,976
5,565,332,99,976,743,866
6,743,99,866,565,976,332
7,743,976,866,332,565,99
8,565,866,99,743,332,976
9,866,743,565,976,99,332
10,99,565,332,866,976,743
11,332,99,976,565,743,866
12,976,332,743,99,866,565
13,743,976,332,866,99,565
14,332,743,99,976,565,866
15,976,866,743,565,332,99
16,866,565,976,99,743,332
17,565,99,866,332,976,743
18,99,332,565,743,866,976
19,976,866,743,332,565,99
20,866,332,976,99,743,565
21,99,565,332,743,866,976
22,743,976,565,866,99,332
23,332,99,866,565,976,743
24,565,743,99,976,332,866
25,743,565,976,332,99,866
26,866,99,332,976,565,743
27,976,743,99,565,866,332
28,99,976,866,743,332,565
29,332,866,565,99,743,976
30,565,332,743,866,976,99
31,866,332,976,99,565,743
32,332,99,866,743,976,565
33,99,743,332,565,866,976
34,743,565,99,976,332,866
35,565,976,743,866,99,332
36,976,866,565,332,743,99
37,976,99,743,866,332,565
38,99,866,976,565,743,332
39,565,332,866,743,99,976
40,866,565,99,332,976,743
41,743,976,332,99,565,866
42,332,743,565,976,866,99
43,866,743,565,976,332,99
44,743,976,866,99,565,332
45,976,99,743,332,866,565
46,332,565,99,866,976,743
47,99,332,976,565,743,866
48,565,866,332,743,99,976
49,866,743,99,332,565,976
50,332,976,743,565,866,99
51,743,332,866,976,99,565
52,99,866,565,743,976,332
53,976,565,332,99,743,866
54,565,99,976,866,332,743
55,99,743,866,332,565,976
56,332,976,743,565,99,866
57,866,99,565,743,976,332
58,743,332,99,976,866,565
59,565,866,976,99,332,743
60,976,565,332,866,743,99
61,99,332,743,976,866,565
62,743,99,866,332,565,976
63,332,976,99,565,743,866
64,565,866,976,743,332,99
65,976,565,332,866,99,743
66,866,743,565,99,976,332
67,866,565,976,99,332,743
68,976,866,332,565,743,99
69,565,99,866,743,976,332
70,99,743,565,332,866,976
71,332,976,743,866,99,565
72,743,332,99,976,565,866
73,332,866,99,565,743,976
74,866,565,332,976,99,743
75,565,976,866,743,332,99
76,99,332,743,866,976,565
77,743,99,976,332,565,866
78,976,743,565,99,866,332
79,866,976,99,743,332,565
80,332,99,565,866,743,976
81,565,332,743,99,976,866
82,99,866,332,976,565,743
83,976,743,866,565,99,332
84,743,565,976,332,866,99
85,99,976,565,866,332,743
86,976,866,99,743,565,332
87,565,99,332,976,743,866
88,332,565,743,99,866,976
89,866,743,976,332,99,565
90,743,332,866,565,976,99
91,99,332,743,565,866,976
92,866,743,976,99,565,332
93,332,565,99,976,743,866
94,565,976,332,866,99,743
95,743,99,866,332,976,565
96,976,866,565,743,332,99
97,743,565,976,99,866,332
98,565,99,743,332,976,866
99,866,976,332,743,99,565
100,976,743,866,565,332,99
101,99,332,565,866,743,976
102,332,866,99,976,565,743
103,743,565,866,332,976,99
104,866,743,976,565,99,332
105,976,866,99,743,332,565
106,332,99,565,976,743,866
107,565,332,743,99,866,976
108,99,976,332,866,565,743
109,743,866,565,99,332,976
110,976,332,99,565,866,743
111,565,743,332,866,976,99
112,332,565,976,743,99,866
113,99,976,866,332,743,565
114,866,99,743,976,565,332
115,332,866,976,99,565,743
116,99,743,866,565,332,976
117,743,565,99,976,866,332
118,976,332,565,866,743,99
119,866,99,332,743,976,565
120,565,976,743,332,99,866
