1,171,740,582,596,350,45
2,45,350,596,582,740,171
3,740,596,171,45,582,350
4,582,171,350,740,45,596
5,596,45,740,350,171,582
6,350,582,45,171,596,740
7,582,740,171,45,350,596
8,45,596,740,350,582,171
9,350,171,596,582,45,740
10,596,350,45,171,740,582
11,171,582,350,740,596,45
12,740,45,582,596,171,350
13,45,582,350,740,596,171
14,171,596,740,350,582,45
15,596,350,171,45,740,582
16,740,171,582,596,45,350
17,350,45,596,582,171,740
18,582,740,45,171,350,596
19,350,45,171,582,740,596
20,45,582,350,596,171,740
21,171,350,740,45,596,582
22,596,740,582,171,45,350
23,582,596,45,740,350,171
24,740,171,596,350,582,45
25,171,740,45,350,596,582
26,740,350,171,582,45,596
27,596,45,582,171,350,740
28,582,596,350,45,740,171
29,45,171,596,740,582,350
30,350,582,740,596,171,45
31,596,45,740,350,582,171
32,171,582,350,740,45,596
33,350,171,45,582,596,740
34,740,596,582,45,171,350
35,582,740,171,596,350,45
36,45,350,596,171,740,582
37,171,582,740,596,350,45
38,740,171,350,582,45,596
39,45,350,596,740,582,171
40,596,45,582,350,171,740
41,582,596,171,45,740,350
42,350,740,45,171,596,582
43,582,45,740,350,596,171
44,171,596,350,740,45,582
45,596,740,171,582,350,45
46,350,171,45,596,582,740
47,45,350,582,171,740,596
48,740,582,596,45,171,350
49,740,350,171,596,45,582
50,582,45,596,171,350,740
51,350,596,740,582,171,45
52,171,740,45,350,582,596
53,45,171,582,740,596,350
54,596,582,350,45,740,171
55,740,596,45,582,350,171
56,596,582,740,171,45,350
57,582,171,596,350,740,45
58,45,740,350,596,171,582
59,171,350,582,45,596,740
60,350,45,171,740,582,596
61,582,171,740,350,596,45
62,740,582,596,171,45,350
63,171,350,582,45,740,596
64,45,596,350,740,171,582
65,596,740,45,582,350,171
66,350,45,171,596,582,740
67,350,596,582,740,171,45
68,740,45,596,171,350,582
69,596,740,350,45,582,171
70,45,171,740,582,596,350
71,171,582,45,350,740,596
72,582,350,171,596,45,740
73,171,45,596,350,582,740
74,45,350,171,740,596,582
75,596,171,582,45,740,350
76,740,582,350,596,45,171
77,582,596,740,171,350,45
78,350,740,45,582,171,596
79,582,596,740,171,45,350
80,350,45,171,740,596,582
81,596,171,582,350,740,45
82,171,350,596,45,582,740
83,740,582,45,596,350,171
84,45,740,350,582,171,596
85,350,740,171,582,596,45
86,171,350,596,740,45,582
87,596,171,45,350,582,740
88,45,596,582,171,740,350
89,740,582,350,45,171,596
90,582,45,740,596,350,171
91,171,596,45,350,740,582
92,596,350,171,582,45,740
93,582,740,350,45,596,171
94,740,45,582,171,350,596
95,350,582,596,740,171,45
96,45,171,740,596,582,350
97,582,45,171,350,740,596
98,740,171,596,582,350,45
99,596,740,350,171,45,582
100,350,596,45,740,582,171
101,171,582,740,45,596,350
102,45,350,582,596,171,740
103,596,45,350,740,582,171
104,582,350,171,596,740,45
105,350,596,582,45,171,740
106,171,582,740,350,45,596
107,45,740,596,171,350,582
108,740,171,45,582,596,350
109,171,740,596,350,582,45
110,740,350,171,45,596,582
111,582,596,45,171,350,740
112,596,171,582,740,45,350
113,350,45,740,582,171,596
114,45,582,350,596,740,171
115,171,45,350,740,582,596
116,740,596,45,582,171,350
117,350,171,582,45,596,740
118,582,350,596,171,740,45
119,45,740,171,596,350,582
